Year,Month,Uganda,Tanzania,Zambia,Egypt,S.Africa,Zimbabwe,Other,Total,Year,Month,UK,USA,Germany,Italy,UAE,S.Arabia,France,India,S.Africa,Japan,Others,Total
2002,September,10,70,40,188,1651,58,391,2408,2002,September,1775,537,831,545,2600,1857,480,1030,1651,1357,6795,19458
2002,August,213,65,36,191,1463,47,621,2635,2002,August,1487,942,832,312,2535,562,609,1379,1463,1262,7760,19144
2001,March,12,29,59,97,409,176,1395,2176,2001,March,2621,1354,977,607,3363,2042,637,945,409,1545,8883,23384
2001,January,85,44,35,136,1542,149,641,2632,2001,January,1868,1001,1252,578,2749,1192,1005,1068,1542,1164,7320,20741
2001,February,56,97,37,244,258,121,1295,2108,2001,February,2167,1118,1069,722,3503,2043,706,807,258,717,7483,20592
2001,December,26,59,24,200,509,104,2149,3072,2001,December,1440,349,589,296,1772,814,539,932,509,1309,7462,16009
2001,April,8,32,203,453,321,40,1317,2374,2001,April,3316,544,815,523,4126,2063,731,914,321,802,8490,22646
2001,May,24,31,33,164,619,52,1324,2247,2001,May,2220,8217,716,440,3524,838,534,1477,619,1142,8480,28207
2001,June,16,17,186,246,435,72,1336,2308,2001,June,1813,8544,1068,930,3787,1621,1445,839,435,982,7985,29449
2001,July,25,68,37,379,633,105,1395,2641,2001,July,1929,8400,761,526,3655,1408,1176,1113,633,1054,8324,28978
2001,August,30,64,145,446,604,38,1535,2862,2001,August,1956,1073,851,480,2482,1245,657,1098,604,1221,10167,21833
2001,September,30,60,39,270,388,58,740,1585,2001,September,1429,4529,1138,382,4211,795,1332,822,388,1175,7127,23328
2001,October,143,54,66,216,1388,71,1801,3738,2001,October,1835,2220,878,755,2119,1399,692,1147,1388,1514,11100,25048
2001,November,39,35,78,311,625,130,1302,2519,2001,November,1710,940,786,532,2993,577,1059,987,625,1021,8015,19246
2000,May,26,64,18,255,1009,53,105,1530,2000,May,3151,850,1113,380,2157,591,705,109,1009,1929,8881,20875
2000,April,9,30,6,212,846,20,39,1163,2000,April,2100,838,577,671,3357,293,692,728,846,871,4698,15673
2000,March,27,75,30,204,1131,48,92,1607,2000,March,1897,1069,860,294,3211,3878,437,943,1131,864,6957,21541
2000,February,26,31,19,30,1048,40,82,1276,2000,February,1419,1185,941,337,2195,1827,768,535,1048,903,5203,16360
2000,January,37,31,13,89,1337,64,84,1655,2000,January,1853,868,644,386,4281,88,435,816,1337,844,5645,17197
2000,June,47,76,24,139,1056,49,71,1462,2000,June,2047,306,587,704,3089,441,674,882,1056,1215,8872,19871
2000,July,36,54,9,137,1283,88,223,1831,2000,July,2321,1315,521,933,5779,3137,748,858,1283,1126,5332,23352
2000,August,40,81,17,65,2029,28,207,2467,2000,August,2670,560,553,830,6294,365,897,825,2029,1429,8059,24511
2000,September,37,113,65,109,1755,42,128,2250,2000,September,1852,961,703,437,4216,901,505,809,1755,820,8288,21245
2000,October,40,182,24,127,1624,47,469,2514,2000,October,2284,829,518,774,5265,2199,866,1040,1624,904,6824,23128
2000,November,100,55,66,66,1968,97,164,2516,2000,November,2274,617,1041,516,6297,978,984,904,1968,1066,9872,26517
2000,December,92,135,19,164,1500,56,331,2295,2000,December,1269,684,657,944,2073,307,586,713,1500,544,8258,17534
1999,April,13,42,9,111,1620,15,386,2197,1999,April,1896,1050,692,332,458,1620,383,835,1620,1145,7263,15739
1999,March,24,67,15,22,1390,20,372,1910,1999,March,1885,522,2228,445,1786,1390,410,704,1390,1312,7195,17985
1999,February,13,39,11,303,1380,22,154,1920,1999,February,2489,4269,631,248,692,1380,360,739,1380,1003,5473,17322
1999,January,7,27,4,13,852,33,84,1021,1999,January,1712,953,909,324,960,852,475,772,852,1283,4823,13453
1999,August,82,33,10,61,1279,16,145,1626,1999,August,1589,1491,859,607,1955,1279,456,798,1279,1266,5020,15395
1999,May,5,22,95,91,1243,10,280,1746,1999,May,1461,502,1091,317,315,1243,574,694,1243,1054,7336,14783
1999,June,29,48,21,125,1409,25,133,1790,1999,June,1815,509,673,665,313,1409,805,705,1409,1006,6127,14143
1999,July,28,33,9,170,1738,47,64,2089,1999,July,2311,513,944,518,319,1738,566,725,1738,1447,6784,15958
1999,September,101,41,1,144,2107,44,267,2705,1999,September,1677,1137,700,281,401,2107,795,774,2107,1485,7915,17419
1999,October,3,33,6,102,939,51,107,1240,1999,October,1628,719,492,309,1602,939,569,673,939,1444,5478,13978
1999,November,3,44,16,98,1277,30,128,1597,1999,November,2866,693,835,435,2851,1277,934,837,1277,1522,8423,20781
1999,December,0,52,18,133,1900,58,85,2247,1999,December,1794,832,1157,333,2362,1900,412,741,1900,1384,6417,17515
1998,May,12,39,2,16,942,16,26,1052,1998,May,1836,3737,732,408,779,726,393,695,942,1198,6030,16622
1998,April,5,33,14,9,1247,12,68,1389,1998,April,1582,2070,700,342,1241,594,1066,906,1247,1219,6313,16099
1998,March,6,79,18,18,1283,46,26,1474,1998,March,1987,2800,807,399,623,1119,698,554,1283,1332,6665,17535
1998,February,4,25,8,17,1224,142,65,1485,1998,February,1725,689,948,432,1919,1213,585,517,1224,1057,6251,15566
1998,June,5,32,5,52,1326,59,95,1573,1998,June,1768,879,1122,504,2438,318,639,852,1326,1125,6830,16581
1998,July,8,22,22,29,1502,70,253,1905,1998,July,2503,908,853,345,1282,663,856,759,1502,1171,7743,17493
1998,August,0,47,12,5,1029,24,35,1153,1998,August,2282,1039,917,516,842,705,539,801,1029,911,6811,15523
1998,September,2,56,21,10,973,19,81,1162,1998,September,1958,375,957,408,1333,1024,669,825,973,2470,6526,16949
1998,November,9,61,1,9,1118,25,188,1410,1998,November,2249,844,807,389,719,720,610,662,1118,1009,5682,13820
1998,December,2,105,0,51,998,36,310,1502,1998,December,2074,596,1271,397,1657,2976,681,663,998,1396,6029,18046
1998,January,2,39,13,16,1229,30,109,1438,1998,January,1871,1273,1178,543,2873,1169,847,598,1229,1059,4959,16634
1998,October,5,55,13,11,1360,38,78,1560,1998,October,2648,1297,855,424,2105,1162,447,820,1360,1758,5308,17170
