Year,Month,UK,Germany,USA,Netherlands,Uganda,Tanzania,Pakistan,France,Egypt,Belgium,Others,Total,Year,Month,Uganda,Tanzania,Zambia,Egypt,Rwanda,Zimbabwe,Ethiopia,Somalia,S.Africa,DRC,Other,Total
2003,June,1191,405,284,896,2438,1090,653,252,516,152,6715,14592,2003,June,2438,1090,136,516,340,11,131,287,105,487,1809,7350
2003,July,1483,294,297,988,2746,1006,717,216,519,168,6049,14483,2003,July,2746,1006,129,519,540,9,130,314,64,460,1246,7163
2003,September,1483,314,235,1042,2790,1352,622,332,428,416,5986,15000,2003,September,2790,1352,192,428,513,27,128,234,44,531,982,7222
2003,October,2133,501,164,1255,3062,1094,822,250,448,163,5485,15379,2003,October,3062,1094,169,448,456,26,101,300,53,496,971,7174
2003,November,1650,244,262,1356,2323,1080,994,252,456,140,6983,15741,2003,November,2323,1080,140,456,1115,16,99,200,137,467,1592,7625
2003,December,1580,438,161,1359,2471,967,602,334,376,202,5945,14434,2003,December,2471,967,199,376,469,5,157,205,10,537,1065,6461
2002,May,1659,487,419,894,2876,1059,603,178,608,236,6638,15657,2002,May,2876,1059,188,608,391,258,490,308,86,497,1127,7888
2002,April,1381,472,408,1086,2403,1022,636,602,537,395,5734,14677,2002,April,2403,1022,53,537,375,1,114,218,43,504,869,6140
2002,March,1683,343,236,918,2302,979,865,84,738,206,4569,12924,2002,March,2302,979,77,738,350,3,131,247,9,395,813,6044
2002,February,1649,442,181,1167,2251,1338,725,218,640,185,4542,13338,2002,February,2251,1338,45,640,405,11,166,205,13,454,663,6190
2002,January,2147,313,281,1033,2875,1308,1107,155,760,110,4368,14457,2002,January,2875,1308,34,760,349,87,135,195,15,384,727,6870
2002,June,1387,266,545,589,2541,1142,541,118,601,149,5120,13000,2002,June,2541,1142,469,601,251,33,103,409,16,424,900,6888
2002,July,1636,423,319,672,2707,1218,760,132,615,241,6840,15562,2002,July,2707,1218,209,615,355,6,183,452,18,484,1050,7297
2002,November,1661,303,218,1059,2526,1339,640,171,444,148,5468,13977,2002,November,2526,1339,62,444,391,14,89,339,88,354,864,6510
2002,December,1242,398,216,939,2763,925,462,126,420,183,4719,12392,2002,December,2763,925,61,420,248,2,141,1163,80,271,749,6823
2002,October,1632,337,192,912,2801,1357,665,197,476,171,5951,14692,2002,October,2801,1357,373,476,389,9,164,356,75,522,887,7409
2002,September,1858,315,151,809,2803,1232,618,247,388,132,6626,15179,2002,September,2803,1232,58,388,403,14,100,315,42,368,1372,7094
2002,August,1692,280,211,947,2429,1259,718,145,525,136,5066,13410,2002,August,2429,1259,67,525,407,3,165,351,34,292,1012,6544
2001,March,1997,568,306,965,2195,950,870,177,546,261,5334,14169,2001,March,2195,950,37,546,290,29,128,292,37,206,999,5710
2001,January,1746,531,350,848,2589,1147,998,173,528,145,4481,13537,2001,January,2589,1147,15,528,217,21,176,329,55,282,721,6081
2001,February,1827,466,253,1018,2401,842,792,142,658,291,5435,14128,2001,February,2401,842,32,658,260,21,138,323,36,148,792,5654
2001,December,1276,324,118,868,2169,1018,585,162,540,190,3728,10978,2001,December,2169,1018,48,540,156,7,184,12,9,416,660,5218
2001,April,1463,574,360,756,2263,848,588,208,391,124,3837,11411,2001,April,2263,848,10,391,256,6,147,157,66,380,690,5215
2001,May,1555,351,375,855,2843,1175,803,240,633,99,4488,13419,2001,May,2843,1175,48,633,332,19,144,246,22,329,834,6626
2001,June,1620,437,368,680,2415,1069,767,165,884,145,4385,12934,2001,June,2415,1069,36,884,307,9,120,324,38,432,781,6413
2001,July,1509,341,306,611,2678,1155,836,264,648,104,6399,14850,2001,July,2678,1155,31,648,345,24,189,405,29,344,810,6658
2001,August,705,349,267,1464,2618,1229,674,188,491,122,4454,12562,2001,August,2618,1229,35,491,268,20,226,12,38,342,841,6123
2001,September,559,300,217,652,2313,1150,490,216,341,157,4057,10452,2001,September,2313,1150,31,341,256,10,250,20,24,318,1130,5844
2001,October,824,377,229,925,2475,1382,535,167,493,133,4133,11672,2001,October,2475,1382,40,493,338,12,237,15,21,399,976,6387
2001,November,1445,466,224,950,2461,1303,603,192,841,178,3938,12602,2001,November,2461,1303,46,841,301,6,206,129,45,321,833,6491
2000,May,1470,511,291,659,1969,1199,683,172,504,189,5026,12674,2000,May,1969,1199,18,504,300,23,179,1187,62,313,671,6425
2000,April,1282,655,220,484,1607,699,728,190,400,151,3034,9448,2000,April,1607,699,3,400,402,7,71,100,42,234,419,3986
2000,March,1687,608,187,592,1823,902,1131,218,1045,181,3514,11887,2000,March,1823,902,25,1045,161,28,239,111,69,228,601,5232
2000,February,1711,440,210,512,1708,882,1190,201,60,106,3693,10713,2000,February,1708,882,16,60,215,24,168,102,40,166,525,3906
2000,January,968,367,171,408,1678,834,815,110,966,124,2683,9124,2000,January,1678,834,1,966,132,16,113,85,41,152,409,4426
2000,June,1832,387,205,705,1853,1005,18,182,704,250,4855,11997,2000,June,1853,1005,13,704,334,255,210,207,73,278,572,5505
2000,July,1909,425,190,518,1914,919,700,169,286,118,3762,10910,2000,July,1914,919,11,286,415,14,174,10,67,241,609,4661
2000,August,1715,407,217,500,2333,1013,817,155,530,186,3850,11723,2000,August,2333,1013,17,530,464,19,120,210,46,270,568,5590
2000,September,1009,472,179,462,2169,851,807,162,573,179,3323,10186,2000,September,2169,851,10,573,242,22,100,187,37,352,568,5110
2000,October,1706,416,334,763,2392,960,829,200,412,115,3809,11937,2000,October,2392,960,6,412,309,24,107,186,46,307,663,5411
2000,November,1635,487,326,856,2658,1071,968,209,583,151,4072,13015,2000,November,2658,1071,38,583,327,21,447,256,69,233,656,6359
2000,December,1731,402,274,835,2082,757,621,176,504,95,3436,10913,2000,December,2082,757,10,504,203,18,127,171,24,269,589,4754
1999,April,1360,481,347,639,1712,1023,460,168,600,84,3279,10154,1999,April,1712,1023,9,600,270,25,92,180,34,197,625,4766
1999,March,1626,523,222,651,1915,1348,976,199,654,122,3676,11911,1999,March,1915,1348,13,654,259,25,117,232,30,215,613,5422
1999,February,1270,591,255,603,1800,1192,925,169,598,158,3055,10614,1999,February,1800,1192,14,598,300,31,135,158,30,148,506,4911
1999,January,1363,247,187,577,1784,1222,757,128,451,89,2201,9007,1999,January,1784,1222,11,451,235,8,102,137,21,163,359,4494
1999,August,1431,435,278,439,1596,1034,620,142,412,179,2913,9478,1999,August,1596,1034,14,412,227,30,146,102,37,146,395,4139
1999,May,1245,598,219,541,1746,1042,516,196,549,200,2998,9850,1999,May,1746,1042,13,549,226,7,94,192,52,157,417,4495
1999,June,1473,708,315,500,1869,1227,767,225,994,161,3728,11968,1999,June,1869,1227,16,994,261,21,167,420,66,144,488,5673
1999,July,1471,923,263,421,1745,1064,613,125,482,189,3105,10401,1999,July,1745,1064,7,482,255,22,104,207,51,120,465,4520
1999,September,1295,428,174,388,1784,1308,651,270,555,105,3154,10111,1999,September,1784,1308,16,555,315,42,138,146,48,216,479,5048
1999,October,1537,324,142,494,1732,1118,659,269,438,91,2786,9589,1999,October,1732,1118,11,438,242,47,140,99,28,178,458,4490
1999,November,1556,209,178,496,1801,1134,969,215,560,80,2663,9860,1999,November,1801,1134,8,560,247,41,91,97,47,181,514,4722
1999,December,1387,306,181,405,1714,1063,1109,184,446,112,2726,9634,1999,December,1714,1063,1,446,273,22,86,83,35,166,527,4417
1998,May,1722,749,363,454,1467,1267,489,185,541,134,3717,11087,1998,May,1467,1267,11,541,150,38,105,176,64,175,509,4503
1998,April,1373,634,228,538,1629,1150,661,144,611,263,3744,10976,1998,April,1629,1150,13,611,177,51,135,100,248,216,450,4781
1998,March,1571,471,454,499,1479,1131,684,144,708,113,3260,10512,1998,March,1479,1131,16,708,141,64,172,172,57,169,483,4590
1998,February,1465,243,354,450,1205,1206,843,237,440,139,3063,9644,1998,February,1205,1206,9,440,273,26,102,97,52,210,391,4009
1998,June,1653,788,284,400,1792,1447,880,137,320,309,3626,11637,1998,June,1792,1447,27,320,250,78,114,150,76,246,502,5003
1998,July,1252,702,279,297,1916,1297,745,87,351,62,3303,10292,1998,July,1916,1297,45,351,352,103,163,107,61,170,687,5252
1998,August,952,306,144,234,1785,1576,715,106,438,98,2795,9149,1998,August,1785,1576,18,438,247,47,141,184,56,112,549,5151
1998,September,1010,309,194,358,1809,1534,859,160,410,96,3123,9861,1998,September,1809,1534,19,410,326,71,119,195,83,86,511,5163
1998,November,1361,395,202,476,1492,1353,586,138,397,148,2541,9089,1998,November,1492,1353,11,397,216,5,120,157,64,131,459,4404
1998,December,1180,356,189,592,1758,1461,497,196,549,100,2719,9597,1998,December,1758,1461,35,549,297,5,154,214,42,180,458,5154
1998,January,1420,266,261,456,1386,1326,683,138,410,105,3073,9524,1998,January,1386,1326,12,410,335,25,107,160,95,215,328,4399
1998,October,1268,329,158,510,1729,1390,642,218,520,137,2982,9884,1998,October,1729,1390,13,520,279,31,107,132,43,102,531,4878
